pathway_name,pathway_source,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites
Transport of small molecules,Reactome,20,HMDB0000036;HMDB0012108#HMDB0010408#HMDB0010404#HMDB0010403#HMDB0010402#HMDB0010401#HMDB0010398#HMDB0010392#HMDB0010391#HMDB0010390#HMDB0010381#HMDB0010382#HMDB0010383#HMDB0010384#HMDB0010387#HMDB0010375;HMDB0000951;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0240251;HMDB0008843#HMDB0009152#HMDB0009150#HMDB0009363#HMDB0009557#HMDB0009556#HMDB0009571#HMDB0008976#HMDB0008974;HMDB0000067;HMDB0000123;HMDB0000172;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304;HMDB0000195;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741;HMDB0000043;HMDB0000290;HMDB0015169;HMDB0000138;HMDB0013462#HMDB0012103#HMDB0012092;HMDB0015282;HMDB0000687;HMDB0000304,172 (219),0.384,1
Sphingolipid Metabolism,SMPDB,5,HMDB0006790;HMDB0004949;HMDB0006734;HMDB0013462#HMDB0012103#HMDB0012092;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304,38 (40),0.387,1
Gaucher Disease,SMPDB,5,HMDB0006790;HMDB0004949;HMDB0006734;HMDB0013462#HMDB0012103#HMDB0012092;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304,38 (40),0.387,1
Globoid Cell Leukodystrophy,SMPDB,5,HMDB0006790;HMDB0004949;HMDB0006734;HMDB0013462#HMDB0012103#HMDB0012092;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304,38 (40),0.387,1
Metachromatic Leukodystrophy (MLD),SMPDB,5,HMDB0006790;HMDB0004949;HMDB0006734;HMDB0013462#HMDB0012103#HMDB0012092;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304,38 (40),0.387,1
Fabry disease,SMPDB,5,HMDB0006790;HMDB0004949;HMDB0006734;HMDB0013462#HMDB0012103#HMDB0012092;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304,38 (40),0.387,1
Krabbe disease,SMPDB,5,HMDB0006790;HMDB0004949;HMDB0006734;HMDB0013462#HMDB0012103#HMDB0012092;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304,38 (40),0.387,1
Arachidonic acid metabolism,EHMN,6,HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304;HMDB0001043;HMDB0002311;HMDB0002343;HMDB0002265;HMDB0002314,47 (53),0.392,1
G alpha (q) signalling events,Reactome,7,HMDB0003208;HMDB0003073;HMDB0001388;HMDB0002995;HMDB0006528;HMDB0001043;HMDB0002183,56 (64),0.395,1
Linoleate metabolism,EHMN,3,HMDB0003073;HMDB0012108#HMDB0010408#HMDB0010404#HMDB0010403#HMDB0010402#HMDB0010401#HMDB0010398#HMDB0010392#HMDB0010391#HMDB0010390#HMDB0010381#HMDB0010382#HMDB0010383#HMDB0010384#HMDB0010387#HMDB0010375;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304,21 (24),0.395,1
Pantothenate and CoA Biosynthesis,SMPDB,3,HMDB0004231;HMDB0001416;HMDB0001016,21 (21),0.395,1
Xenobiotics,Reactome,5,HMDB0041905;HMDB0006543;HMDB0000234;HMDB0001920;HMDB0013195,39 (51),0.409,1
Urea cycle and metabolism of arginine_ proline_ glutamate_ aspartate and asparagine,EHMN,11,HMDB0002064;HMDB0060460;HMDB0001186;HMDB0033934;HMDB0002104;HMDB0000725;HMDB0002172;HMDB0000123;HMDB0001276;HMDB0002189;HMDB0000489,93 (125),0.413,1
Arachidonic acid metabolism - Homo sapiens (human),KEGG,8,HMDB0003208;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304;HMDB0002995;HMDB0001043;HMDB0002311;HMDB0002343;HMDB0002265;HMDB0002314,66 (75),0.414,1
coenzyme A biosynthesis,HumanCyc,2,HMDB0001416;HMDB0001016,13 (13),0.414,1
Triglyceride biosynthesis,Reactome,2,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741,13 (18),0.414,1
Choline catabolism,Reactome,2,HMDB0000123;HMDB0000043,13 (15),0.414,1
Interconversion of polyamines,Reactome,2,HMDB0001276;HMDB0001186,13 (13),0.414,1
Coenzyme A biosynthesis,Reactome,2,HMDB0001416;HMDB0001016,13 (13),0.414,1
Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways,Wikipathways,2,HMDB0001934;HMDB0000472,13 (15),0.414,1
Transport of nucleotide sugars,Reactome,2,HMDB0000290;HMDB0000304,13 (13),0.414,1
Fcgamma receptor (FCGR) dependent phagocytosis,Reactome,2,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304,13 (16),0.414,1
Glycerolipid metabolism - Homo sapiens (human),KEGG,2,HMDB0006790;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741,13 (38),0.414,1
Ibuprofen Metabolism Pathway,SMPDB,2,HMDB0001925;HMDB0002513#HMDB0010323,13 (13),0.414,1
Sphingolipid pathway,Wikipathways,2,HMDB0006734;HMDB0004949,13 (14),0.414,1
Endothelin Pathways,Wikipathways,2,HMDB0010139#HMDB0010126#HMDB0010083#HMDB0009947#HMDB0009779#HMDB0010131#HMDB0010106#HMDB0010107#HMDB0010142#HMDB0010049#HMDB0010050#HMDB0010058#HMDB0010096#HMDB0010097#HMDB0010084#HMDB0009970#HMDB0010138#HMDB0010135#HMDB0010134#HMDB0010146#HMDB0010145;HMDB0001043,13 (13),0.414,1
One-carbon metabolism,Wikipathways,3,HMDB0000123;HMDB0000244;HMDB0000043,22 (25),0.425,1
Mitochondrial tRNA aminoacylation,Reactome,3,HMDB0000123;HMDB0000172;HMDB0000687,22 (65),0.425,1
Synthesis of PC,Reactome,3,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0008843#HMDB0009152#HMDB0009150#HMDB0009363#HMDB0009557#HMDB0009556#HMDB0009571#HMDB0008976#HMDB0008974;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304,22 (28),0.425,1
Cytosolic tRNA aminoacylation,Reactome,3,HMDB0000123;HMDB0000172;HMDB0000687,22 (65),0.425,1
tRNA Aminoacylation,Reactome,3,HMDB0000123;HMDB0000172;HMDB0000687,22 (65),0.425,1
RAF/MAP kinase cascade,Reactome,3,HMDB0000693;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0000123,22 (36),0.425,1
MAPK1/MAPK3 signaling,Reactome,3,HMDB0000693;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0000123,22 (36),0.425,1
MAPK family signaling cascades,Reactome,3,HMDB0000693;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0000123,22 (36),0.425,1
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,Reactome,4,HMDB0001976;HMDB0002183;HMDB0001388;HMDB0006519,31 (42),0.43,1
Vesicle-mediated transport,Reactome,4,HMDB0000067;HMDB0012108#HMDB0010408#HMDB0010404#HMDB0010403#HMDB0010402#HMDB0010401#HMDB0010398#HMDB0010392#HMDB0010391#HMDB0010390#HMDB0010381#HMDB0010382#HMDB0010383#HMDB0010384#HMDB0010387#HMDB0010375;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304,31 (66),0.43,1
Metabolism of fat-soluble vitamins,Reactome,4,HMDB0030020;HMDB0000067;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741,31 (49),0.43,1
Galactose Metabolism,SMPDB,4,HMDB0006790;HMDB0035312;HMDB0003213;HMDB0003553,31 (36),0.43,1
Galactosemia,SMPDB,4,HMDB0006790;HMDB0035312;HMDB0003213;HMDB0003553,31 (36),0.43,1
Vitamin A Deficiency,SMPDB,4,HMDB0006216;HMDB0006217;HMDB0006285#HMDB0006280;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304,31 (32),0.43,1
Retinol Metabolism,SMPDB,4,HMDB0006216;HMDB0006217;HMDB0006285#HMDB0006280;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304,31 (32),0.43,1
Spinal Cord Injury,Wikipathways,1,HMDB0001043,5 (9),0.433,1
Signal amplification,Reactome,1,HMDB0003208,5 (5),0.433,1
MAPK Signaling Pathway,Wikipathways,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,5 (5),0.433,1
Chemokine signaling pathway,Wikipathways,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,5 (5),0.433,1
Biosynthesis and regeneration of tetrahydrobiopterin and catabolism of phenylalanine,Wikipathways,1,HMDB0002281,5 (11),0.433,1
Kisspeptin-kisspeptin receptor system in the ovary,Wikipathways,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,5 (6),0.433,1
Glycogen Synthesis and Degradation,Wikipathways,1,HMDB0000757,5 (6),0.433,1
Amino acid conjugation,Wikipathways,1,HMDB0000123,5 (6),0.433,1
Biosynthesis of DPAn-3-derived protectins and resolvins,Reactome,1,HMDB0006528,5 (16),0.433,1
Erythropoietin activates Phospholipase C gamma (PLCG),Reactome,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,5 (6),0.433,1
RUNX2 regulates osteoblast differentiation,Reactome,1,HMDB0000234,5 (6),0.433,1
Chondroitin sulfate biosynthesis,Reactome,1,HMDB0000304,5 (5),0.433,1
RUNX2 regulates bone development,Reactome,1,HMDB0000234,5 (6),0.433,1
Constitutive Signaling by Aberrant PI3K in Cancer,Reactome,1,HMDB0000693,5 (18),0.433,1
Prostanoid ligand receptors,Reactome,1,HMDB0003208,5 (5),0.433,1
G alpha (12/13) signalling events,Reactome,1,HMDB0003208,5 (5),0.433,1
PI3K/AKT Signaling in Cancer,Reactome,1,HMDB0000693,5 (21),0.433,1
Non-small cell lung cancer,Wikipathways,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,5 (7),0.433,1
Pre-NOTCH Processing in Golgi,Reactome,1,HMDB0000290,5 (5),0.433,1
Collagen degradation,Reactome,1,HMDB0033934,5 (6),0.433,1
thyroid hormone metabolism I (via deiodination),HumanCyc,1,HMDB0000667,5 (11),0.433,1
FRS-mediated FGFR2 signaling,Reactome,1,HMDB0000693,5 (6),0.433,1
SHC-mediated cascade:FGFR2,Reactome,1,HMDB0000693,5 (6),0.433,1
glycine/serine biosynthesis,HumanCyc,1,HMDB0000123,5 (5),0.433,1
bupropion degradation,HumanCyc,1,HMDB0000123,5 (10),0.433,1
Biosynthesis of A2E_ implicated in retinal degradation,Reactome,1,HMDB0008843#HMDB0009152#HMDB0009150#HMDB0009363#HMDB0009557#HMDB0009556#HMDB0009571#HMDB0008976#HMDB0008974,5 (7),0.433,1
Phenindione Action Pathway,SMPDB,1,HMDB0000015,5 (5),0.433,1
FRS-mediated FGFR1 signaling,Reactome,1,HMDB0000693,5 (5),0.433,1
SHC-mediated cascade:FGFR1,Reactome,1,HMDB0000693,5 (5),0.433,1
Defective pyroptosis,Reactome,1,HMDB0001342,5 (7),0.433,1
Host Interactions of HIV factors,Reactome,1,HMDB0033934,5 (9),0.433,1
FRS-mediated FGFR3 signaling,Reactome,1,HMDB0000693,5 (5),0.433,1
SHC-mediated cascade:FGFR3,Reactome,1,HMDB0000693,5 (5),0.433,1
FRS-mediated FGFR4 signaling,Reactome,1,HMDB0000693,5 (5),0.433,1
SHC-mediated cascade:FGFR4,Reactome,1,HMDB0000693,5 (5),0.433,1
Nephrin/Neph1 signaling in the kidney podocyte,PID,1,HMDB0000067,5 (5),0.433,1
CD4 T cell receptor signaling-JNK cascade,INOH,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,5 (6),0.433,1
Glycosaminoglycan degradation - Homo sapiens (human),KEGG,1,HMDB0000693,5 (27),0.433,1
Prion disease - Homo sapiens (human),KEGG,1,HMDB0001547,5 (5),0.433,1
Estrogen-dependent gene expression,Reactome,1,HMDB0000145,5 (7),0.433,1
Rap1 signaling pathway - Homo sapiens (human),KEGG,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,5 (5),0.433,1
MAPK signaling pathway - Homo sapiens (human),KEGG,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,5 (5),0.433,1
Asthma - Homo sapiens (human),KEGG,1,HMDB0011148,5 (5),0.433,1
Chemokine signaling pathway - Homo sapiens (human),KEGG,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,5 (5),0.433,1
Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human),KEGG,1,HMDB0033934,5 (7),0.433,1
Tuberculosis - Homo sapiens (human),KEGG,1,HMDB0003550,5 (18),0.433,1
PPAR signaling pathway - Homo sapiens (human),KEGG,1,HMDB0002995,5 (5),0.433,1
Proteoglycans in cancer - Homo sapiens (human),KEGG,1,HMDB0000693,5 (7),0.433,1
Human cytomegalovirus infection - Homo sapiens (human),KEGG,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,5 (6),0.433,1
POLB-Dependent Long Patch Base Excision Repair,Reactome,1,HMDB0001178,5 (7),0.433,1
Resolution of AP sites via the multiple-nucleotide patch replacement pathway,Reactome,1,HMDB0001178,5 (7),0.433,1
PDGF,INOH,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,5 (6),0.433,1
fosb gene expression and drug abuse,BioCarta,1,HMDB0001934,5 (7),0.433,1
Phagocyte cell death caused by cytosolic Mtb,Reactome,1,HMDB0001178,5 (5),0.433,1
Escape of Mtb from the phagocyte,Reactome,1,HMDB0001178,5 (5),0.433,1
Generation of second messenger molecules,Reactome,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,5 (7),0.433,1
Arachidonate production from DAG,Reactome,1,HMDB0001043,5 (8),0.433,1
Retinoid cycle disease events,Reactome,1,HMDB0008843#HMDB0009152#HMDB0009150#HMDB0009363#HMDB0009557#HMDB0009556#HMDB0009571#HMDB0008976#HMDB0008974,5 (7),0.433,1
Diseases associated with visual transduction,Reactome,1,HMDB0008843#HMDB0009152#HMDB0009150#HMDB0009363#HMDB0009557#HMDB0009556#HMDB0009571#HMDB0008976#HMDB0008974,5 (7),0.433,1
Diseases of the neuronal system,Reactome,1,HMDB0008843#HMDB0009152#HMDB0009150#HMDB0009363#HMDB0009557#HMDB0009556#HMDB0009571#HMDB0008976#HMDB0008974,5 (7),0.433,1
Tranexamic Acid Action Pathway,SMPDB,1,HMDB0000015,5 (5),0.433,1
Dicoumarol Action Pathway,SMPDB,1,HMDB0000015,5 (5),0.433,1
Warfarin Action Pathway,SMPDB,1,HMDB0000015,5 (5),0.433,1
GPCR GroupI metabotropic glutamate receptor,INOH,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,5 (6),0.433,1
GPCR signaling-G alpha q,INOH,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,5 (6),0.433,1
Vindesine Action Pathway,SMPDB,1,HMDB0014454,5 (5),0.433,1
Argatroban Action Pathway,SMPDB,1,HMDB0000015,5 (5),0.433,1
Heparin Action Pathway,SMPDB,1,HMDB0000015,5 (5),0.433,1
Enoxaparin Action Pathway,SMPDB,1,HMDB0000015,5 (5),0.433,1
Dicumarol Action Pathway,SMPDB,1,HMDB0000015,5 (5),0.433,1
Abacavir Action Pathway,SMPDB,1,HMDB0015182,5 (5),0.433,1
Nicotine Activity on Chromaffin Cells,Wikipathways,1,HMDB0001934,5 (5),0.433,1
G alpha (i) signalling events,Reactome,9,HMDB0012108#HMDB0010408#HMDB0010404#HMDB0010403#HMDB0010402#HMDB0010401#HMDB0010398#HMDB0010392#HMDB0010391#HMDB0010390#HMDB0010381#HMDB0010382#HMDB0010383#HMDB0010384#HMDB0010387#HMDB0010375;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0005096;HMDB0033941;HMDB0036836;HMDB0001043;HMDB0004080;HMDB0015464;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304,77 (106),0.446,1
RAS and bradykinin pathways in COVID-19,Wikipathways,2,HMDB0001043;HMDB0000876,14 (16),0.453,1
serotonin and melatonin biosynthesis,HumanCyc,2,HMDB0002281;HMDB0000472,14 (15),0.453,1
Carnitine synthesis,Reactome,2,HMDB0001325;HMDB0000123,14 (17),0.453,1
L-carnitine biosynthesis,HumanCyc,2,HMDB0001325;HMDB0000123,14 (14),0.453,1
androgen biosynthesis,HumanCyc,2,HMDB0000234;HMDB0000077,14 (15),0.453,1
Neurotransmitter release cycle,Reactome,5,HMDB0004080;HMDB0002088;HMDB0033934;HMDB0001043;HMDB0000043,41 (45),0.453,1
Prostaglandin Leukotriene metabolism,INOH,3,HMDB0002995;HMDB0001043;HMDB0003208,23 (25),0.455,1
alpha-linolenic acid (ALA) metabolism,Reactome,3,HMDB0006519;HMDB0002183;HMDB0001388,23 (32),0.455,1
Cytoprotection by HMOX1,Reactome,3,HMDB0001388;HMDB0000054;HMDB0001043,23 (29),0.455,1
Aminoacyl-tRNA biosynthesis - Homo sapiens (human),KEGG,3,HMDB0000123;HMDB0000172;HMDB0000687,23 (52),0.455,1
Lysine degradation,INOH,4,HMDB0062259;HMDB0001325;HMDB0000123;HMDB0000279,33 (36),0.479,1
tRNA charging,HumanCyc,3,HMDB0000123;HMDB0000172;HMDB0000687,24 (24),0.484,1
Pantothenate and CoA biosynthesis - Homo sapiens (human),KEGG,3,HMDB0004231;HMDB0001416;HMDB0001016,24 (30),0.484,1
Retinoid metabolism and transport,Reactome,3,HMDB0000067;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741,24 (37),0.484,1
Porphyrin metabolism,INOH,2,HMDB0033934;HMDB0001149,15 (16),0.49,1
Melanin biosynthesis,Reactome,2,HMDB0001229;HMDB0004067,15 (23),0.49,1
O-linked glycosylation,Reactome,2,HMDB0000290;HMDB0000304,15 (18),0.49,1
Binding and Uptake of Ligands by Scavenger Receptors,Reactome,2,HMDB0000067;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741,15 (41),0.49,1
Vascular smooth muscle contraction - Homo sapiens (human),KEGG,2,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0001043,15 (16),0.49,1
Base Excision Repair,Reactome,2,HMDB0001178;HMDB0011600,15 (26),0.49,1
Adrenoceptors,Reactome,2,HMDB0015095;HMDB0015697,15 (23),0.49,1
Signaling by FGFR3 in disease,Reactome,1,HMDB0000693,6 (17),0.494,1
Signaling by FGFR in disease,Reactome,1,HMDB0000693,6 (23),0.494,1
Gamma-glutamyl cycle for the biosynthesis and degradation of glutathione_ including diseases,Wikipathways,1,HMDB0000123,6 (12),0.494,1
3q29 copy number variation syndrome,Wikipathways,1,HMDB0000036,6 (17),0.494,1
Regulation of RUNX2 expression and activity,Reactome,1,HMDB0001547,6 (7),0.494,1
melatonin degradation III,HumanCyc,1,HMDB0004259,6 (7),0.494,1
dolichyl-diphosphooligosaccharide biosynthesis,HumanCyc,1,HMDB0000290,6 (7),0.494,1
mucin core 1 and core 2 <i>O</i>-glycosylation,HumanCyc,1,HMDB0000290,6 (8),0.494,1
Biosynthesis of DPAn-3-derived maresins,Reactome,1,HMDB0006528,6 (14),0.494,1
Reuptake of GABA,Reactome,1,HMDB0000043,6 (6),0.494,1
SUMO E3 ligases SUMOylate target proteins,Reactome,1,HMDB0001547,6 (8),0.494,1
Downstream signaling of activated FGFR2,Reactome,1,HMDB0000693,6 (8),0.494,1
Cysteine formation from homocysteine,Reactome,1,HMDB0033934,6 (8),0.494,1
Signaling by FGFR1 in disease,Reactome,1,HMDB0000693,6 (17),0.494,1
Downstream signaling of activated FGFR1,Reactome,1,HMDB0000693,6 (7),0.494,1
Downstream signaling of activated FGFR3,Reactome,1,HMDB0000693,6 (7),0.494,1
Downstream signaling of activated FGFR4,Reactome,1,HMDB0000693,6 (7),0.494,1
Crosslinking of collagen fibrils,Reactome,1,HMDB0033934,6 (7),0.494,1
Assembly of collagen fibrils and other multimeric structures,Reactome,1,HMDB0033934,6 (7),0.494,1
Fc-epsilon receptor I signaling in mast cells,PID,1,HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304,6 (8),0.494,1
Nongenotropic Androgen signaling,PID,1,HMDB0000234,6 (6),0.494,1
RXR and RAR heterodimerization with other nuclear receptor,PID,1,HMDB0000876,6 (6),0.494,1
Hydrolysis of LPC,Reactome,1,HMDB0012108#HMDB0010408#HMDB0010404#HMDB0010403#HMDB0010402#HMDB0010401#HMDB0010398#HMDB0010392#HMDB0010391#HMDB0010390#HMDB0010381#HMDB0010382#HMDB0010383#HMDB0010384#HMDB0010387#HMDB0010375,6 (9),0.494,1
Degradation of the extracellular matrix,Reactome,1,HMDB0033934,6 (8),0.494,1
Regulation of necroptotic cell death,Reactome,1,HMDB0000290,6 (10),0.494,1
CD4 T cell receptor signaling,INOH,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,6 (7),0.494,1
Non-small cell lung cancer - Homo sapiens (human),KEGG,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,6 (6),0.494,1
Coronavirus disease - COVID-19 - Homo sapiens (human),KEGG,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,6 (10),0.494,1
Relaxin signaling pathway - Homo sapiens (human),KEGG,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,6 (6),0.494,1
Spinocerebellar ataxia - Homo sapiens (human),KEGG,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,6 (7),0.494,1
VEGF signaling pathway - Homo sapiens (human),KEGG,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,6 (6),0.494,1
